,NAME,COURT,JUDICIAL POSITION,COURT ADDRESS,SIGNED DATE,"GIFTS, BEQUESTS,FAVORS OR LOANS TYPE","GIFTS, BEQUESTS,FAVORS OR LOANS DONER OR LENDER","GIFTS, BEQUESTS,FAVORS OR LOANS ESTIMATED VALUE",year
108,JUDD J. CARHART,MASS APPEALS COURT,JUDGE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2011/3/19,NA,NA,NA,2010
109,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2011/3/6,NA,NA,NA,2010
110,FRANCIS R. FECTEAU,MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2011/2/12,NA,NA,NA,2010
111,ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2011/4/8,NA,NA,NA,2010
112,ANDREW GRAINGER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1751",2011/2/1,NA,NA,NA,2010
113,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2011/2/14,NA,NA,NA,2010
114,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2011/4/5,NA,NA,NA,2010
115,SCOTT L. KATKER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2011/4/12,NA,NA,NA,2010
116,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1753",2011/3/5,NA,NA,NA,2010
117,BARBARA A. LENK,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2011/4/14,SUBSCRIPTION TO LAWYERS WEEKLY,BROWN RUNNICK,360,2010
118,PHILLIP RAPOZA,MASS APPEALS COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109,2011/4/13,NA,NA,NA,2010
119,PETER J. RUBIN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2011/4/15,NA,NA,NA,2010
120,"MITCHELL J. SIKORA, JR.",MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2011/3/30,NA,NA,NA,2010
121,KENT B. SMITH,MASS APPEALS COURT,NA,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2011/2/8,NA,NA,NA,2010
122,JOSEFH A. TRAINOR,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2011/3/14,NA,NA,NA,2010
123,ARIANE D. VUONO,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2011/4/13,NA,NA,NA,2010
124,GABRIELLE R. WOLOHOJIAN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109,2011/3/18,NA,NA,NA,2010
125,FERNANDE R.V. DUFFLY,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,ADAMS COURTHOUSE 1 PEMBERTON SQ BOSTON MA02108,2012/1/10,-,-,-,2011
126,BARBARA A. LENK,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2012/4/12,SUBSCRIBTION TO LAWYERS WEEKLY (1/2 YEAR),BROWN RUNNICK,200,2011
127,ROBERT J. CORDY,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2012/4/6,NA,NA,NA,2011
128,RODERICK IRELAND,SUPREME JUDICIAL COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2012/3/15,HONORARUM,NEW YORK UNIVERSITY,1800,2011
129,FRANCIS X. SPINA,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2012/1/22,NA,NA,NA,2011
130,RALPH D. GANTS,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2012/4/10,NA,NA,NA,2011
131,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/12,2D MORTGAGE PURCHASE LOAD 11/15/06 AND RELATED PURHASE/REPAIR 7/2/07,TERRENCE B. MAGRATH,38714,2011
132,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/12,LOAN 10/13/06,LAURIE C. CHAPBELL,15000,2011
133,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/12,LOAN ,HUGH SCOTT,31000,2011
134,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/12,LOAN 5/31/07,CAROLE RUBENSTIEN,5000,2011
135,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/12,LOAN 7/14/07,JACK W. RIZIKA,6000,2011
136,FREDERICK L. BROWN,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/5/16,NA,NA,NA,2011
137,JUDD J. CARHART,MASS APPEALS COURT,JUDGE,John Adams Courthouse,2012/3/31,NA,NA,NA,2011
138,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/3/24,NA,NA,NA,2011
139,ANDRE A. GELINAS,MASS APPEALS COURT,"ASSOC. JUSTICE, RECALL",JOHNADAMS COURTHOUSE SUITE3500 ONE PEMBERTON SQ BOSTON MA 02108,2012/5/4,NA,NA,NA,2011
140,HON. ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/27,NA,NA,NA,2011
141,ANDREW GRAINGER,MASS APPEALS COURT,ASSOC. JUSTICE,One Pemberton Square,2012/1/10,NA,NA,NA,2011
142,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"One Pemberton Square, SUITE 3-500",2012/2/7,NA,NA,NA,2011
143,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/4/13,NA,NA,NA,2011
144,SCOTT L. KATKER,MASS APPEALS COURT,ASSOC. JUSTICE,"One Pemberton Square,",2012/4/11,NA,NA,NA,2011
145,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/3/25,NA,NA,NA,2011
146,JAMES F. MCHUGH,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/3/14,NA,NA,NA,2011
147,WILLIAM J. MEADE,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109,2012/1/27,NA,NA,NA,2011
148,PHILLIP RAPOZA,MASS APPEALS COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109,2012/4/12,NA,NA,NA,2011
149,PETER J. RUBIN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/4/9,NA,NA,NA,2011
150,"MITCHELL J. SIKORA, JR.",MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/4/10,NA,NA,NA,2011
151,KENT B. SMITH,MASS APPEALS COURT,NA,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/2/10,NA,NA,NA,2011
152,JOSEFH A. TRAINOR,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/4/4,NA,NA,NA,2011
153,ROBERT J. CORDY,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/2/25,NA,NA,NA,2012
154,FRANCIS X. SPINA,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/6/10,CLOCK(REIMBURSED),ASSN. OF CLERK-MAGISRATES AND ASST. CLERKS,450,2012
155,RODERICK IRELAND,SUPREME JUDICIAL COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2013/4/15,HONORARIUM,NEW YORK UNIV.,1800,2012
156,BARBARA A. LENK,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2013/4/8,NA,NA,NA,2012
157,RALPH D. GANTS,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/3/9,NA,NA,NA,2012
158,PETER W. AGNESS JR.,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2013/4/13,NA,NA,NA,2012
159,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2013/4/11,2D MORTGAGE PURCHASE LOAD 11/15/06 AND RELATED PURHASE/REPAIR 7/2/07,TERRENCE B. MAGRATH,40184,2012
160,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2013/4/11,LOAN 10/13/06,LAURIE C. CHAPBELL,15000,2012
161,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2013/4/11,LOAN ,HUGH SCOTT,31000,2012
162,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2013/4/11,LOAN 5/31/07,CAROLE RUBENSTIEN,5000,2012
163,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2013/4/11,LOAN 7/14/07,JACK W. RIZIKA,6000,2012
164,FREDERICK L. BROWN,MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/4/4,NA,NA,NA,2012
165,JUDD J. CARHART,MASS APPEALS COURT,NA,John Adams Courthouse,2013/3/22,NA,NA,NA,2012
166,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/1/29,NA,NA,NA,2012
167,HOU. AUDRE A. GELCUAS,MASS APPEALS COURT,ASSOC. JUSTICE (RECALL),JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2013/4/10,NA,NA,NA,2012
168,ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2013/4/9,NA,NA,NA,2012
169,ANDREW GRAINGER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1751",2013/1/23,NA,NA,NA,2012
170,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/2/4,NA,NA,NA,2012
171,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/4/10,SPEECH TRAVEL TO DUBAI,DUBAI JUDICIAL INSTITUTE,14867,2012
172,SCOTT L. KATKER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/4/10,NA,NA,NA,2012
173,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2013/3/8,NA,NA,NA,2012
174,JAMES F. MCHUGH,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1753",2013/4/5,NA,NA,NA,2012
175,WILLIAM J. MEADE,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1753",2013/3/1,NA,NA,NA,2012
176,PHILLIP RAPOZA,MASS APPEALS COURT,CHIEF JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108",2013/4/1,NA,NA,NA,2012
177,PETER J. RUBIN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2013/4/2,NA,NA,NA,2012
178,"MITCHELL J. SIKORA, JR.",MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/3/25,NA,NA,NA,2011
179,JOSEFH A. TRAINOR,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2013/4/12,NA,NA,NA,2012
180,ROBERT J. CORDY,SUPREME JUDICIAL COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2014/4/1,NA,NA,NA,2013
181,RODERICK IRELAND,SUPREME JUDICIAL COURT,NA,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2014/4/15,HONORARUM,NEW YORK UNIVERSITY,1800,2013
182,BARBARA A. LENK,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2014/4/6,NA,NA,NA,2013
183,FRANCIS X. SPINA,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2014/1/21,NA,NA,NA,2013
184,RALPH D. GANTS,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2014/4/2,NA,NA,NA,2013
185,PETER W. AGNESS JR.,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2014/3/17,NA,NA,NA,2013
186,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2014/4/14,2D MORTGAGE PURCHASE LOAD 11/15/06 AND RELATED PURHASE/REPAIR 7/2/07,TERRENCE B. MAGRATH,35867,2013
187,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2014/4/14,LOAN 10/13/06,LAURIE C. CHAPBELL,15000,2013
188,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2014/4/14,LOAN ,HUGH SCOTT,31000,2013
189,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2014/4/14,LOAN 5/31/07,CAROLE RUBENSTIEN,5000,2013
190,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2014/4/14,LOAN 7/14/07,JACK W. RIZIKA,6000,2013
191,FREDERICK L. BROWN,MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2014/4/7,NA,NA,NA,2013
192,JUDD J. CARHART,MASS APPEALS COURT,NA,John Adams Courthouse,2014/3/23,NA,NA,NA,2013
193,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2014/2/5,NA,NA,NA,2013
194,ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2014/4/2,NA,NA,NA,2013
195,ANDREW GRAINGER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1751",2014/1/13,NA,NA,NA,2013
196,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2014/2/3,NA,NA,NA,2013
197,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2014/4/11,NA,NA,NA,2013
198,SCOTT L. KATKER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2014/4/10,NA,NA,NA,2013
199,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2014/3/4,NA,NA,NA,2013
200,WILLIAM J. MEADE,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1753",2014/3/19,NA,NA,NA,2013
201,PHILLIP RAPOZA,MASS APPEALS COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109,2014/4/12,NA,NA,NA,2013
202,PETER J. RUBIN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2014/1/28,NA,NA,NA,2013
203,"MITCHELL J. SIKORA, JR.",MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2014/3/2,NA,NA,NA,2013
204,GABRIELLE R. WOLOHOJIAN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109,2014/1/13,NA,NA,NA,2013
